paper_id,scientist_id
W4394746686,A5056155985
W3174612873,A5091288542
W3174612873,A5037154191
W3174612873,A5058550942
W3174612873,A5101618125
W4391597419,A5077135257
W4391597419,A5079146238
W4391597419,A5034282536
W4391597419,A5016302815
W4391597419,A5009170752
W4391597419,A5053420299
W4391597419,A5100705949
W4391597419,A5015105927
W4391597419,A5024904526
W4391597419,A5075054318
W4391597419,A5010123141
W4391597419,A5064779749
W4391597419,A5003937158
W4391597419,A5073813414
W4391597419,A5058419004
W4391597419,A5061523147
W4391597419,A5064393538
W4391597419,A5085547862
W4391597419,A5057702358
W4391597419,A5111931926
W4391597419,A5109333912
W4391597419,A5110957580
W4391597419,A5019133381
W4391597419,A5087672712
W4391597419,A5025751575
W4391597419,A5084412014
W4391597419,A5048042745
W4391597419,A5014450486
W4391597419,A5111268632
W4391597419,A5090256845
W4391597419,A5000283880
W4391597419,A5020822582
W4391597419,A5044914684
W4391597419,A5015669951
W4391597419,A5013095123
W4391597419,A5030307585
W4391597419,A5009758190
W4391597419,A5069989341
W4391597419,A5025976601
W4391597419,A5034247564
W4391597419,A5093878657
W4391597419,A5091219997
W4391597419,A5060138314
W4391597419,A5101657401
W4391597419,A5032435683
W4391597419,A5060831304
W4391597419,A5014757076
W4391597419,A5030428474
W4391597419,A5101923306
W4391597419,A5051773233
W4391597419,A5085233153
W4391597419,A5074642671
W4391597419,A5002123585
W4391597419,A5110237529
W4391597419,A5060595935
W4391597419,A5033405400
W4391597419,A5030396271
W4391597419,A5110767641
W4391597419,A5019953858
W4391597419,A5083818499
W4391597419,A5000895141
W4391597419,A5112053488
W4391597419,A5103134925
W4391597419,A5008385581
W4391597419,A5100770632
W4391597419,A5039358787
W4391597419,A5020743917
W4391597419,A5026886390
W4391597419,A5078260458
W4391597419,A5024460519
W4391597419,A5074508324
W4391597419,A5077135257
W4391597419,A5058419004
W4391597419,A5061523147
W4391597419,A5103134925
W4391597419,A5112882637
W4391597419,A5014757076
W4391597419,A5008385581
W4391597419,A5032435683
W4391597419,A5060831304
W4391597419,A5112053488
W4391597419,A5103172670
W4391597419,A5012918430
W4391597419,A5112882929
W4391597419,A5057910370
W4391597419,A5060494012
W4391597419,A5103178051
W4391597419,A5045227754
W4391597419,A5034407880
W4391597419,A5027668797
W4391597419,A5071763269
W4391597419,A5111125639
W4391597419,A5111126717
W4391597419,A5100671812
W4391597419,A5093878658
W4391597419,A5113115436
W4391597419,A5012423955
W4391597419,A5051143765
W4391597419,A5003937158
W4391597419,A5073813414
W4390733952,A5021691588
W2298888770,A5019291222
W4397017012,A5100298455
W4397017012,A5029880301
W4397017012,A5082241181
W4397017012,A5020298436
W4397017012,A5085719140
W4400010769,A5071415742
W4400010769,A5081509914
